"event","top_inning","batter_name","date"
"Strikeout","N","Carlos Pena","2012-06-01"
"Single","Y","Adam Jones","2012-06-01"
"Forceout","Y","Matt Wieters","2012-06-01"
"Grounded Into DP","Y","Mark Reynolds","2012-06-01"
"Strikeout","N","B.J. Upton","2012-06-01"
"Single","N","Matthew Joyce","2012-06-01"
"Single","N","Matt Joyce","2012-06-01"
"Grounded Into DP","N","Ben Zobrist","2012-06-01"
"Pop Out","Y","Chris Davis","2012-06-01"
"Single","Y","Wilson Betemit","2012-06-01"
"Strikeout","Y","Bill Hall","2012-06-01"
"Strikeout","Y","Bill Hall","2012-06-01"
"Strikeout","Y","Robert Andino","2012-06-01"
"Strikeout","Y","Robert Andino","2012-06-01"
"Strikeout","N","Luke Scott","2012-06-01"
"Flyout","N","Sean Rodriguez","2012-06-01"
"Flyout","N","Rich Thompson","2012-06-01"
"Groundout","Y","Endy Chavez","2012-06-01"
"Single","Y","J.J. Hardy","2012-06-01"
"Single","Y","Adam Jones","2012-06-01"
"Single","Y","Matt Wieters","2012-06-01"
"Strikeout","Y","Mark Reynolds","2012-06-01"
"Groundout","Y","Chris Davis","2012-06-01"
"Flyout","Y","Scott Podsednik","2012-06-01"
"Groundout","Y","Daniel Nava","2012-06-01"
"Strikeout","Y","Adrian Gonzalez","2012-06-01"
"Catcher Interference","N","Kelly Johnson","2012-06-01"
"Field Error","N","Yunel Escobar","2012-06-01"
"Strikeout","N","Jose Bautista","2012-06-01"
"Grounded Into DP","N","Edwin Encarnacion","2012-06-01"
"Home Run","Y","David Ortiz","2012-06-01"
"Flyout","Y","Jarrod Saltalamacchi","2012-06-01"
"Groundout","Y","Will Middlebrooks","2012-06-01"
"Single","Y","Ryan Sweeney","2012-06-01"
"Groundout","Y","Mike Aviles","2012-06-01"
"Hit By Pitch","N","Colby Rasmus","2012-06-01"
"Pop Out","N","Brett Lawrie","2012-06-01"
"Lineout","N","J.P. Arencibia","2012-06-01"
"Flyout","N","David Cooper","2012-06-01"
"Flyout","Y","Nick Punto","2012-06-01"
"Flyout","Y","Scott Podsednik","2012-06-01"
"Double","Y","Daniel Nava","2012-06-01"
"Single","Y","Adrian Gonzalez","2012-06-01"
"Groundout","Y","David Ortiz","2012-06-01"
"Pop Out","N","Rajai Davis","2012-06-01"
"Groundout","N","Kelly Johnson","2012-06-01"
"Home Run","N","Yunel Escobar","2012-06-01"
"Strikeout","N","Jose Bautista","2012-06-01"
"Groundout","Y","Jarrod Saltalamacchi","2012-06-01"
"Groundout","Y","Will Middlebrooks","2012-06-01"
"Groundout","Y","Ryan Sweeney","2012-06-01"
"Pop Out","N","Edwin Encarnacion","2012-06-01"
"Single","N","Colby Rasmus","2012-06-01"
"Forceout","N","Brett Lawrie","2012-06-01"
"Flyout","N","J.P. Arencibia","2012-06-01"
"Single","Y","Mike Aviles","2012-06-01"
"Grounded Into DP","Y","Nick Punto","2012-06-01"
"Groundout","Y","Scott Podsednik","2012-06-01"
"Double","N","David Cooper","2012-06-01"
"Walk","N","Rajai Davis","2012-06-01"
"Strikeout","N","Kelly Johnson","2012-06-01"
"Grounded Into DP","N","Yunel Escobar","2012-06-01"
"Single","Y","Daniel Nava","2012-06-01"
"Double","Y","Adrian Gonzalez","2012-06-01"
"Walk","Y","David Ortiz","2012-06-01"
"Forceout","Y","Jarrod Saltalamacchi","2012-06-01"
"Grounded Into DP","Y","Will Middlebrooks","2012-06-01"
"Strikeout","N","Jose Bautista","2012-06-01"
"Strikeout","N","Edwin Encarnacion","2012-06-01"
"Strikeout","N","Colby Rasmus","2012-06-01"
"Double","Y","Ryan Sweeney","2012-06-01"
"Strikeout","Y","Mike Aviles","2012-06-01"
"Groundout","Y","Nick Punto","2012-06-01"
"Single","Y","Scott Podsednik","2012-06-01"
"Double","Y","Daniel Nava","2012-06-01"
"Single","Y","Adrian Gonzalez","2012-06-01"
"Single","Y","David Ortiz","2012-06-01"
"Flyout","N","Brett Lawrie","2012-06-01"
"Flyout","N","J.P. Arencibia","2012-06-01"
"Home Run","N","David Cooper","2012-06-01"
"Walk","N","Rajai Davis","2012-06-01"
"Strikeout","N","Kelly Johnson","2012-06-01"
"Flyout","Y","Jarrod Saltalamacchi","2012-06-01"
"Single","Y","Will Middlebrooks","2012-06-01"
